0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:58:10 +0530] "GET /frontend/main2.html? HTTP/1.1" 200 11943
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:58:10 +0530] "GET /w3images/chicago.jpg HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:58:10 +0530] "GET /w3images/bandmember.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:58:10 +0530] "GET /w3images/map.jpg HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:58:10 +0530] "GET /w3images/newyork.jpg HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:58:10 +0530] "GET /w3images/paris.jpg HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [25/Dec/2019:13:58:10 +0530] "GET /w3images/sanfran.jpg HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:02:16 +0530] "GET /frontend/main2.html HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:02:16 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:02:22 +0530] "GET /frontend/main2.html? HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:02:22 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:03:28 +0530] "GET /frontend/main2.html HTTP/1.1" 200 6673
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:03:28 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:04:52 +0530] "GET /frontend/main2.html HTTP/1.1" 200 6698
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:04:52 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:05:58 +0530] "GET /frontend/main2.html HTTP/1.1" 200 6694
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:05:58 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:07:01 +0530] "GET /frontend/main2.html HTTP/1.1" 200 6704
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:07:03 +0530] "GET /frontend/main2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:07:26 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:07:49 +0530] "GET /frontend/main2.html HTTP/1.1" 200 6700
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:07:49 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:10:07 +0530] "GET /frontend/main2.html HTTP/1.1" 200 6716
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:10:07 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
